"Lines","File","SizeKB"
"2041","src\sw-entry.ts","95.46"
"1649","ui\instrument\ParagraphSpaceView.tsx","67.89"
"1646","src\persistence\session-manager.ts","60.46"
"1474","ui\instrument\DecisionMapSheet.tsx","72.01"
"1313","src\provenance\surface.ts","50.51"
"1301","src\system\connection-handler.ts","48.46"
"1266","src\offscreen\oi.js","42.07"
"1241","shared\types\contract.ts","42.57"
"1072","src\providers\chatgpt.js","37.83"
"992","ui\utils\copy-format-utils.ts","39.11"
"974","ui\hooks\chat\usePortMessageHandler.ts","41.14"
"932","ui\instrument\cards\BlastRadiusCard.tsx","38.33"
"871","src\providers\gemini.js","30.78"
"864","src\providers\grok.js","35.3"
"822","src\geometry\algorithms\basin-inversion.ts","27.72"
"798","ui\instrument\column-registry.ts","22.66"
"791","src\execution\deterministic-pipeline.ts","31.79"
"772","src\provenance\structure.ts","27.96"
"750","ui\instrument\EvidenceTable.tsx","25.61"
"732","ui\chat\CouncilOrbs.tsx","30.29"
